"subject" "activitiName" "instrument" "acceleration" "magnitude" "jerk" "variable" "average"
1 "LAYING" "accelerometer" "body" "NA" "NA" "mean" -0.436825066141567
1 "LAYING" "accelerometer" "body" "NA" "NA" "std" -0.860316637764667
1 "LAYING" "accelerometer" "body" "NA" "jerk" "mean" -0.4553064038717
1 "LAYING" "accelerometer" "body" "NA" "jerk" "std" -0.949075343766667
1 "LAYING" "accelerometer" "body" "magnitude" "NA" "mean" -0.8518484003
1 "LAYING" "accelerometer" "body" "magnitude" "NA" "std" -0.79672290213
1 "LAYING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.9438483127
1 "LAYING" "accelerometer" "body" "magnitude" "jerk" "std" -0.925024802
1 "LAYING" "accelerometer" "gravity" "NA" "NA" "mean" 0.300828564993333
1 "LAYING" "accelerometer" "gravity" "NA" "NA" "std" -0.885638771793333
1 "LAYING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.8419291525
1 "LAYING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.79514486386
1 "LAYING" "gyroscope" "NA" "NA" "NA" "mean" -0.440682195365333
1 "LAYING" "gyroscope" "NA" "NA" "NA" "std" -0.913838329836667
1 "LAYING" "gyroscope" "NA" "NA" "jerk" "mean" -0.074279452394
1 "LAYING" "gyroscope" "NA" "NA" "jerk" "std" -0.948101974666667
1 "LAYING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.8684748667
1 "LAYING" "gyroscope" "NA" "magnitude" "NA" "std" -0.82166480472
1 "LAYING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.9529139883
1 "LAYING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.9342508252
1 "SITTING" "accelerometer" "body" "NA" "NA" "mean" -0.454587597129894
1 "SITTING" "accelerometer" "body" "NA" "NA" "std" -0.944598469822695
1 "SITTING" "accelerometer" "body" "NA" "jerk" "mean" -0.480122326182128
1 "SITTING" "accelerometer" "body" "NA" "jerk" "std" -0.985676595
1 "SITTING" "accelerometer" "body" "magnitude" "NA" "mean" -0.948159854361702
1 "SITTING" "accelerometer" "body" "magnitude" "NA" "std" -0.927761610212766
1 "SITTING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.986313161170213
1 "SITTING" "accelerometer" "body" "magnitude" "jerk" "std" -0.982863100744681
1 "SITTING" "accelerometer" "gravity" "NA" "NA" "mean" 0.455988409617021
1 "SITTING" "accelerometer" "gravity" "NA" "NA" "std" -0.951005044964539
1 "SITTING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.948536786170213
1 "SITTING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.927078418723404
1 "SITTING" "gyroscope" "NA" "NA" "NA" "mean" -0.496276404014539
1 "SITTING" "gyroscope" "NA" "NA" "NA" "std" -0.961546368333333
1 "SITTING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0601979400496454
1 "SITTING" "gyroscope" "NA" "NA" "jerk" "std" -0.989728489007092
1 "SITTING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.944664039680851
1 "SITTING" "gyroscope" "NA" "magnitude" "NA" "std" -0.933365107659574
1 "SITTING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.990886944255319
1 "SITTING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.98767917287234
1 "STANDING" "accelerometer" "body" "NA" "NA" "mean" -0.467573276306604
1 "STANDING" "accelerometer" "body" "NA" "NA" "std" -0.982497423616352
1 "STANDING" "accelerometer" "body" "NA" "jerk" "mean" -0.481855755386151
1 "STANDING" "accelerometer" "body" "NA" "jerk" "std" -0.991157709371069
